# https://github.com/saultyevil/python/tree/tde
# Python Version 84a
# Git commit hash cf234086ee7093aebd969779641ae53e9ed9dfa5
# Date	Thu Dec 19 15:16:38 2019

# Units: flambda spectrum (erg/s/cm^-2/A) at 100.0 parsecs

# Central_object.mass(msol)                     3e7
# Central_object.radius(cm)                     2.65e13
# Disk.mdot(msol/yr)                            2e-2
# Disk.radmax(cm)                               1e15
# Wind.mdot(msol/yr)                            2e-3
# SV.diskmin(units_of_rstar)                    1
# SV.diskmax(units_of_rstar)                    30
# SV.thetamin(deg)                              70
# SV.thetamax(deg)                              82
# SV.mdot_r_exponent                            0
# SV.v_infinity(in_units_of_vescape             1
# SV.acceleration_length(cm)                    5e16
# SV.acceleration_exponent                      1.0
# SV.gamma(streamline_skew;1=usually)           1.0
# SV.v_zero_mode(fixed,sound_speed)             sound_speed
# SV.v_zero(multiple_of_sound_speed)            1
# Wind.radmax(cm)                               5e17
# Wind.filling_factor(1=smooth,<1=clumped)      0.1

Freq.                Lambda               10                   30                   45                   60                   75                   85                   
302760500000000.0    9901.97              0.00028102           0.00016813           0.00011679           7.4223e-05           3.0819e-05           1.0764e-05          
305728400000000.0    9805.844             0.00031726           0.00019902           0.00015483           7.66e-05             2.8176e-05           8.0817e-06          
308696300000000.0    9711.566             0.00031982           0.00021024           0.00012981           9.015e-05            2.7826e-05           8.9924e-06          
311664300000000.0    9619.084             0.0003332            0.00025665           0.00019339           8.9053e-05           3.8194e-05           1.4896e-05          
314632200000000.0    9528.347             0.00034392           0.0002729            0.00017517           0.00010267           4.6591e-05           1.5581e-05          
317600200000000.0    9439.305             0.00039629           0.00027937           0.00019396           0.00012248           4.5055e-05           1.5915e-05          
320568100000000.0    9351.912             0.00039866           0.00032566           0.00022982           0.00013681           5.5202e-05           1.5646e-05          
323536100000000.0    9266.123             0.00039911           0.00033743           0.00023097           0.00013264           5.2082e-05           1.8098e-05          
326504000000000.0    9181.893             0.00044938           0.0003643            0.00025155           0.00015316           5.8144e-05           1.7515e-05          
329472000000000.0    9099.181             0.00035473           0.0003215            0.00024248           0.00014549           5.433e-05            1.9114e-05          
332439900000000.0    9017.945             0.00048561           0.00035868           0.00027646           0.00015498           6.3155e-05           2.121e-05           
335407900000000.0    8938.148             0.00040711           0.00038795           0.00028885           0.0001599            6.0873e-05           2.2526e-05          
338375800000000.0    8859.75              0.00050018           0.00040496           0.00030459           0.00016096           6.9333e-05           2.2931e-05          
341343700000000.0    8782.715             0.00050148           0.00043916           0.00030092           0.00016927           6.5401e-05           2.0703e-05          
344311700000000.0    8707.009             0.0004974            0.00044083           0.00027999           0.00019538           6.922e-05            2.1118e-05          
347279600000000.0    8632.596             0.00057053           0.00039822           0.00029628           0.00016659           7.0674e-05           2.3154e-05          
350247600000000.0    8559.445             0.00055156           0.0004472            0.00030041           0.00019131           6.9653e-05           2.274e-05           
353215500000000.0    8487.523             0.00063417           0.00045331           0.00031947           0.00017033           7.9244e-05           2.9149e-05          
356183500000000.0    8416.8               0.0005908            0.00042686           0.00034363           0.00022151           8.1701e-05           2.8089e-05          
359151400000000.0    8347.245             0.00051817           0.00044774           0.00036011           0.0001979            7.514e-05            2.5066e-05          
