# https://github.com/saultyevil/python/tree/tde
# Python Version 84a
# Git commit hash 81e7e8f31e9f3e2af2768c454dc243359ba14890
# Date	Sat Dec  7 13:33:03 2019

# Units: flambda spectrum (erg/s/cm^-2/A) at 100.0 parsecs

# Central_object.mass(msol)                     5e7
# Central_object.radius(cm)                     2.65e13
# Disk.mdot(msol/yr)                            1e-2
# Disk.radmax(cm)                               1e15
# Wind.mdot(msol/yr)                            1.0000e-02
# SV.diskmin(units_of_rstar)                    1
# SV.diskmax(units_of_rstar)                    30
# SV.thetamin(deg)                              20
# SV.thetamax(deg)                              65
# SV.mdot_r_exponent                            0
# SV.v_infinity(in_units_of_vescape             1
# SV.acceleration_length(cm)                    5e16
# SV.acceleration_exponent                      1.5
# SV.v_zero_mode(fixed,sound_speed)             sound_speed
# SV.v_zero(multiple_of_sound_speed)            1
# SV.gamma(streamline_skew;1=usually)           1.0
# Wind.radmax(cm)                               5e17
# Wind.filling_factor(1=smooth,<1=clumped)      0.1

Freq.                Lambda               10                   30                   45                   60                   75                   85                   
302760500000000.0    9901.97              0.00017595           0.00013338           9.5141e-05           6.8238e-05           6.6398e-05           6.5763e-05          
305728400000000.0    9805.844             0.00020563           0.00014762           9.8288e-05           7.437e-05            7.8083e-05           7.8811e-05          
308696300000000.0    9711.566             0.00023906           0.00017259           0.00012278           9.5388e-05           8.7169e-05           8.2813e-05          
311664300000000.0    9619.084             0.00027864           0.00019718           0.00014355           0.0001051            9.6706e-05           0.00010094          
314632200000000.0    9528.347             0.00027421           0.0002157            0.00014564           0.00010355           9.8301e-05           0.00010102          
317600200000000.0    9439.305             0.0002968            0.000223             0.00014915           0.00011528           0.00010313           0.00010162          
320568100000000.0    9351.912             0.00030451           0.00022981           0.00016553           0.00012221           0.00012315           0.00011723          
323536100000000.0    9266.123             0.00031723           0.00025441           0.00018224           0.00013772           0.00012661           0.00012953          
326504000000000.0    9181.893             0.00034693           0.00027666           0.00019815           0.00013773           0.00011999           0.0001245           
329472000000000.0    9099.181             0.00036608           0.00029429           0.00019858           0.00015349           0.00014478           0.00014187          
332439900000000.0    9017.945             0.00037714           0.00028612           0.00020983           0.00015594           0.00015191           0.00015362          
335407900000000.0    8938.148             0.00039421           0.00029436           0.00022314           0.00017245           0.00015428           0.00015206          
338375800000000.0    8859.75              0.00040267           0.00031392           0.0002271            0.00016572           0.00015936           0.00016106          
341343700000000.0    8782.715             0.00038267           0.00031983           0.00022216           0.00017439           0.00016053           0.00015763          
344311700000000.0    8707.009             0.00039469           0.00032614           0.00023966           0.00017288           0.00016564           0.00017013          
347279600000000.0    8632.596             0.00047097           0.00035516           0.00024665           0.00018382           0.00017154           0.00017083          
350247600000000.0    8559.445             0.00046308           0.00035781           0.00026774           0.00020051           0.00017789           0.00017443          
353215500000000.0    8487.523             0.00051067           0.00036946           0.00027181           0.00019887           0.00019671           0.00019207          
