# https://github.com/saultyevil/python/tree/tde
# Python Version 84a
# Git commit hash 81e7e8f31e9f3e2af2768c454dc243359ba14890
# Date	Sat Dec  7 17:20:59 2019

# Units: flambda spectrum (erg/s/cm^-2/A) at 100.0 parsecs

# Central_object.mass(msol)                     5e7
# Central_object.radius(cm)                     2.65e13
# Disk.mdot(msol/yr)                            1e-2
# Disk.radmax(cm)                               1e15
# Wind.mdot(msol/yr)                            1.0000e-02
# SV.diskmin(units_of_rstar)                    1
# SV.diskmax(units_of_rstar)                    30
# SV.thetamin(deg)                              20
# SV.thetamax(deg)                              65
# SV.mdot_r_exponent                            0
# SV.v_infinity(in_units_of_vescape             1
# SV.acceleration_length(cm)                    5e16
# SV.acceleration_exponent                      1.5
# SV.v_zero_mode(fixed,sound_speed)             sound_speed
# SV.v_zero(multiple_of_sound_speed)            1
# SV.gamma(streamline_skew;1=usually)           1.0
# Wind.radmax(cm)                               5e17
# Wind.filling_factor(1=smooth,<1=clumped)      1

Freq.                Lambda               10                   30                   45                   60                   75                   85                   
302760500000000.0    9901.97              0.00017157           0.00012533           8.6645e-05           5.8101e-05           5.1694e-05           5.0746e-05          
305728400000000.0    9805.844             0.0002035            0.0001451            9.5579e-05           6.7446e-05           5.9758e-05           6.0418e-05          
308696300000000.0    9711.566             0.00022396           0.00015545           0.00010156           7.3942e-05           6.9743e-05           6.5306e-05          
311664300000000.0    9619.084             0.00022787           0.00017144           0.00010776           7.4602e-05           6.8715e-05           6.4719e-05          
314632200000000.0    9528.347             0.00025173           0.00018375           0.00012359           8.1558e-05           7.4258e-05           7.601e-05           
317600200000000.0    9439.305             0.00024513           0.0001879            0.00013001           9.8922e-05           8.9797e-05           8.8184e-05          
320568100000000.0    9351.912             0.00026342           0.00021122           0.0001446            0.00010377           9.4041e-05           9.2812e-05          
323536100000000.0    9266.123             0.00027461           0.00021869           0.0001434            0.0001054            9.7911e-05           9.8457e-05          
326504000000000.0    9181.893             0.00028793           0.00021386           0.00014886           0.000113             0.00010594           0.00010201          
329472000000000.0    9099.181             0.00028764           0.00021583           0.00015193           0.00011255           0.00010744           0.00010241          
332439900000000.0    9017.945             0.0003093            0.00023448           0.00016622           0.00010679           0.00011132           0.00011204          
335407900000000.0    8938.148             0.00033608           0.00024913           0.00016079           0.00012987           0.00011458           0.00011624          
338375800000000.0    8859.75              0.00036046           0.00026424           0.00017851           0.00012143           0.00011916           0.00011906          
341343700000000.0    8782.715             0.000346             0.00025553           0.00017232           0.00012927           0.00012738           0.00012756          
344311700000000.0    8707.009             0.0003797            0.00027686           0.00019042           0.0001361            0.00013301           0.00013228          
347279600000000.0    8632.596             0.00037598           0.00029974           0.0002004            0.00015116           0.00015007           0.00014823          
350247600000000.0    8559.445             0.00040521           0.00032344           0.00021351           0.00014759           0.00014108           0.00013867          
353215500000000.0    8487.523             0.00042772           0.00031733           0.00022579           0.00016074           0.00015079           0.00014664          
356183500000000.0    8416.8               0.00044752           0.00033125           0.00023891           0.00017008           0.00015579           0.00014934          
359151400000000.0    8347.245             0.00046228           0.00034773           0.00023849           0.00017402           0.00016454           0.00016578          
362119400000000.0    8278.831             0.0004706            0.00036479           0.00024883           0.00017457           0.00016431           0.00015875          
365087300000000.0    8211.529             0.00048386           0.00037813           0.00025587           0.00018811           0.00016807           0.00016352          
368055300000000.0    8145.312             0.00050108           0.00038534           0.00026719           0.00018534           0.00017133           0.0001659           
371023200000000.0    8080.155             0.00051591           0.00040439           0.00026517           0.00019877           0.00018425           0.00018767          
373991200000000.0    8016.032             0.00055825           0.00041692           0.00029105           0.00019838           0.00018167           0.00017701          
376959100000000.0    7952.919             0.00056555           0.00042945           0.00028536           0.00020232           0.00018597           0.00017629          
379927000000000.0    7890.791             0.00059805           0.00044025           0.00029995           0.00020255           0.0001862            0.0001853           
382895000000000.0    7829.627             0.00059166           0.00046495           0.00031371           0.00021595           0.00019577           0.00019562          
385862900000000.0    7769.404             0.00061655           0.00045685           0.00031139           0.00022368           0.00021019           0.00019995          
